"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Feb 16 06:04:31 UTC 2026","Mon Feb 16 06:04:31 UTC 2026","0","Login test (0)","login-testcases","apiTests.DashboardApiTests","apiTests.DashboardApiTests","testUpdateDashboard","testUpdateDashboard",""
"skipped","Mon Feb 16 06:04:00 UTC 2026","Mon Feb 16 06:04:00 UTC 2026","0","Login test","login-testcases","uiTests.LoginPageTests","uiTests.LoginPageTests","verifyIsUserCannotLoginWithWrongCredentials","verifyIsUserCannotLoginWithWrongCredentials",""
"broken","Mon Feb 16 06:04:00 UTC 2026","Mon Feb 16 06:04:00 UTC 2026","0","Login test","login-testcases","uiTests.LoginPageTests","uiTests.LoginPageTests","initDriver","initDriver",""
"skipped","Mon Feb 16 06:04:00 UTC 2026","Mon Feb 16 06:04:00 UTC 2026","1","Login test","login-testcases","uiTests.LoginPageTests","uiTests.LoginPageTests","verifyIsUserCannotLoginWithWrongCredentials","verifyIsUserCannotLoginWithWrongCredentials",""
"failed","Mon Feb 16 06:02:37 UTC 2026","Mon Feb 16 06:03:08 UTC 2026","31011","Login test","login-testcases","uiTests.LoginPageTests","uiTests.LoginPageTests","verifyIsUserCannotLoginWithWrongCredentials","verifyIsUserCannotLoginWithWrongCredentials",""
"failed","Mon Feb 16 06:03:59 UTC 2026","Mon Feb 16 06:04:29 UTC 2026","30613","Login test","login-testcases","uiTests.LoginPageTests","uiTests.LoginPageTests","verifyIsUserCannotLoginWithWrongCredentials","verifyIsUserCannotLoginWithWrongCredentials",""
"broken","Mon Feb 16 06:04:31 UTC 2026","Mon Feb 16 06:04:31 UTC 2026","0","Login test (0)","login-testcases","apiTests.DashboardApiTests","apiTests.DashboardApiTests","setUp","setUp",""
"skipped","Mon Feb 16 06:04:31 UTC 2026","Mon Feb 16 06:04:31 UTC 2026","0","Login test (0)","login-testcases","apiTests.DashboardApiTests","apiTests.DashboardApiTests","testCreateDashboard","testCreateDashboard",""
"failed","Mon Feb 16 06:03:13 UTC 2026","Mon Feb 16 06:03:53 UTC 2026","40880","Login test","login-testcases","uiTests.DashboardTests","uiTests.DashboardTests","verifyIsSearchFieldReturnCorrectDashboard","verifyIsSearchFieldReturnCorrectDashboard",""
"skipped","Mon Feb 16 06:04:00 UTC 2026","Mon Feb 16 06:04:00 UTC 2026","1","Login test","login-testcases","uiTests.LoginPageTests","uiTests.LoginPageTests","verifyIsUserCannotLoginWithWrongCredentials","verifyIsUserCannotLoginWithWrongCredentials",""
"skipped","Mon Feb 16 06:04:00 UTC 2026","Mon Feb 16 06:04:00 UTC 2026","0","Login test","login-testcases","uiTests.LoginPageTests","uiTests.LoginPageTests","verifyIsAppLoaded","verifyIsAppLoaded",""
"skipped","Mon Feb 16 06:04:31 UTC 2026","Mon Feb 16 06:04:31 UTC 2026","0","Login test (0)","login-testcases","apiTests.DashboardApiTests","apiTests.DashboardApiTests","testRequiredFieldValidationOfDashboardCreation","testRequiredFieldValidationOfDashboardCreation",""
